#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,9076.0,0.6574,0.6394,0.6393,0.6394,0.5756,0.6446,0.6445,0.5392,0.6444,0.6472,0.5181,0.484,0.6475,0.4997,0.6287,0.6432,0.6393,0.648,0.6394,0.5925,0.6394,0.5065
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,97733.0,0.2642,0.2536,0.244,0.214,0.2008,0.2046,0.2065,0.391,0.2339,0.2159,0.2008,0.1108,0.2263,0.1517,0.2165,0.1694,0.1742,0.2617,0.2698,0.2214,0.2667,0.1787
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,189651.0,0.3504,0.2911,0.2916,0.2917,0.3324,0.3171,0.2977,0.329,0.3489,0.2981,0.3914,0.2061,0.3268,0.2957,0.3641,0.306,0.2992,0.3297,0.3993,0.3423,0.3435,0.2977
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,109834.0,0.3516,0.2435,0.3075,0.2337,0.2772,0.2578,0.2507,0.5896,0.3447,0.2933,0.2329,0.1863,0.3251,0.2145,0.3509,0.2264,0.2261,0.3412,0.3768,0.3468,0.3315,0.2214
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,39362.0,0.4837,0.3515,0.2841,0.3404,0.4131,0.3922,0.3526,0.4701,0.5448,0.3942,0.2981,0.2637,0.4904,0.2929,0.4998,0.3166,0.3311,0.5098,0.5629,0.4209,0.5629,0.3003
fiu_casa-110108-112108.oracleGeneral.zst_8973201,65168.0,0.1406,0.09,0.1043,0.0896,0.1048,0.1154,0.0929,0.1176,0.139,0.0885,0.1001,0.0635,0.1322,0.0871,0.1256,0.0912,0.0874,0.1268,0.157,0.1188,0.1093,0.1015
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,18774.0,0.7432,0.7052,0.6892,0.6609,0.4845,0.7341,0.6777,0.5189,0.7232,0.7367,0.4669,0.3838,0.7369,0.4242,0.6073,0.4942,0.4997,0.7373,0.7186,0.5635,0.7186,0.5666
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,2981836.0,0.0862,0.066,0.0697,0.0656,0.0788,0.0671,0.0709,0.0656,0.0713,0.0717,0.0691,0.045,0.0712,0.0668,0.0856,0.0643,0.064,0.0724,0.1106,0.0743,0.0651,0.0647
fiu_madmax-110108-112108.oracleGeneral.zst_918010,13993.0,0.8364,0.8262,0.7575,0.8262,0.8321,0.8323,0.8197,0.6276,0.8232,0.8342,0.5789,0.5322,0.8338,0.6003,0.7582,0.6617,0.6611,0.8342,0.8262,0.7144,0.8262,0.622
fiu_homes-110108-112108.oracleGeneral.zst_17836701,336881.0,0.2213,0.1718,0.1848,0.1795,0.2085,0.2066,0.1778,0.2223,0.2285,0.1881,0.2262,0.1173,0.1975,0.1784,0.2228,0.1875,0.1859,0.1991,0.2928,0.2145,0.219,0.1918
