#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
fiu_madmax-110108-112108.oracleGeneral.zst,27986,0.8059,0.2593,0.7798,0.2993,0.7999,0.7828,0.5174,0.796,0.5079,0.699,0.6313,0.7125,0.3046,0.8006,0.7976,0.5188,0.5341,0.6313,0.4889,0.3122,0.485
fiu_webusers-030409-033109.oracleGeneral.zst,37549,0.2847,0.1008,0.2201,0.3282,0.2579,0.3374,0.2974,0.138,0.2388,0.3278,0.116,0.1885,0.1152,0.3486,0.1446,0.176,0.1734,0.1157,0.1868,0.1174,0.1652
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst,5963672,0.0468,0.0348,0.0467,0.0465,0.0492,0.0589,0.0575,0.0475,0.0535,0.0489,0.0539,0.0537,0.047,0.0503,0.0497,0.0467,0.0471,0.0476,0.0525,0.0492,0.0464
fiu_casa-110108-112108.oracleGeneral.zst,130337,0.0488,0.0384,0.0506,0.0458,0.0582,0.0765,0.0683,0.0642,0.0735,0.064,0.0675,0.0531,0.0478,0.0612,0.0482,0.0508,0.0546,0.054,0.0625,0.0547,0.0567
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst,195466,0.0777,0.0632,0.0772,0.0836,0.0859,0.0928,0.1191,0.0779,0.0911,0.0969,0.1539,0.0805,0.082,0.082,0.0801,0.0746,0.0772,0.1509,0.0934,0.0981,0.0773
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst,78724,0.3166,0.1426,0.2713,0.3291,0.3136,0.3449,0.2987,0.2642,0.2722,0.3062,0.2576,0.2315,0.1595,0.3398,0.2659,0.2201,0.2198,0.2576,0.2364,0.1562,0.1966
fiu_webresearch-030409-033109.oracleGeneral.zst,18153,0.6392,0.3198,0.6392,0.3336,0.6465,0.6522,0.5055,0.6438,0.4569,0.6319,0.6393,0.4384,0.3327,0.647,0.6469,0.4553,0.4748,0.6393,0.6415,0.3732,0.4585
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst,219669,0.2372,0.0751,0.2112,0.1073,0.2063,0.2666,0.1787,0.1669,0.1642,0.2025,0.1681,0.1304,0.0988,0.2518,0.2053,0.1448,0.1461,0.1681,0.1821,0.1073,0.1445
fiu_homes-110108-112108.oracleGeneral.zst,673762,0.1156,0.0944,0.1147,0.1195,0.1181,0.1476,0.1446,0.1208,0.1343,0.1338,0.1275,0.128,0.1264,0.1216,0.12,0.1152,0.1211,0.1235,0.1293,0.1448,0.1167
fiu_ikki-110108-112108.oracleGeneral.zst,379302,0.2052,0.1804,0.2067,0.2144,0.215,0.2591,0.2492,0.2134,0.2461,0.2256,0.206,0.2299,0.2223,0.2207,0.2141,0.2061,0.2182,0.206,0.2405,0.2414,0.2026
