#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,1361.0,0.7036,0.6441,0.6457,0.6442,0.6521,0.6504,0.6434,0.6422,0.6547,0.6552,0.6381,0.6254,0.6577,0.6386,0.6612,0.644,0.6439,0.6599,0.6465,0.6611,0.6461,0.6368
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,14660.0,0.5509,0.5161,0.5222,0.5147,0.4776,0.5309,0.5233,0.5129,0.5252,0.5351,0.47,0.3963,0.5382,0.5112,0.5178,0.5161,0.5178,0.5397,0.5645,0.4867,0.5241,0.5078
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,28447.0,0.6517,0.6027,0.6153,0.6052,0.6187,0.6292,0.6216,0.6574,0.6361,0.6222,0.6526,0.4611,0.6338,0.604,0.6233,0.6161,0.6146,0.6375,0.7619,0.6177,0.6632,0.6065
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,16475.0,0.6713,0.6286,0.6462,0.6287,0.6248,0.6483,0.6318,0.6158,0.6466,0.6533,0.5909,0.5322,0.6559,0.6197,0.6507,0.6279,0.6284,0.6575,0.6714,0.635,0.6414,0.627
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,5904.0,0.8214,0.7914,0.7973,0.7895,0.7953,0.8073,0.7922,0.778,0.8082,0.8104,0.7404,0.706,0.8108,0.7734,0.8115,0.7904,0.7899,0.8123,0.8165,0.7756,0.7992,0.777
fiu_casa-110108-112108.oracleGeneral.zst_8973201,9775.0,0.2203,0.1984,0.1999,0.1989,0.2042,0.2141,0.2022,0.2127,0.2115,0.204,0.2483,0.1639,0.2052,0.1989,0.2111,0.2019,0.2008,0.2081,0.305,0.2256,0.2569,0.2025
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,2816.0,0.78,0.7366,0.7437,0.7363,0.738,0.747,0.739,0.7299,0.7513,0.7522,0.717,0.6905,0.753,0.7195,0.7557,0.7364,0.7363,0.7549,0.7409,0.7443,0.7409,0.7188
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,447275.0,0.2548,0.1577,0.1792,0.1561,0.1603,0.2229,0.1751,0.1618,0.2047,0.1776,0.1952,0.1078,0.1876,0.1591,0.2587,0.1548,0.1549,0.1974,0.4149,0.2583,0.1719,0.158
fiu_madmax-110108-112108.oracleGeneral.zst_918010,2099.0,0.8551,0.8382,0.8389,0.8388,0.8455,0.8448,0.8428,0.8227,0.8454,0.8455,0.8316,0.79,0.8457,0.808,0.8452,0.8415,0.8395,0.8462,0.8461,0.8423,0.8461,0.8157
fiu_homes-110108-112108.oracleGeneral.zst_17836701,50532.0,0.402,0.3744,0.3774,0.3737,0.3787,0.4044,0.3935,0.405,0.4025,0.3805,0.4277,0.2839,0.384,0.3763,0.3959,0.3786,0.3779,0.3858,0.5862,0.4161,0.4398,0.3781
