#dataset merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.003 0.007 0.008 -0.002 0.008 -0.092 -0.074 0.004
MetaKV 0.028 0.030 0.014 0.012 0.007 0.016 0.019 0.017
MetaCDN 0.034 0.036 0.027 0.020 0.001 -0.003 -0.058 0.026
TencentPhoto 0.157 0.164 0.054 0.091 0.003 0.043 -0.072 0.083
Wikimedia 0.230 0.248 0.208 0.127 0.003 0.209 0.236 0.197
Tencent 0.070 0.074 0.064 0.056 0.015 0.037 -0.073 0.025
Systor 0.127 0.147 0.124 0.098 0.005 0.107 0.061 0.066
fiu 0.305 0.303 0.297 0.277 0.086 0.309 0.198 0.150
MSR 0.146 0.103 0.202 0.185 0.044 0.027 0.020 0.082
Alibaba 0.094 0.094 0.078 0.076 0.021 0.064 0.039 0.032
CloudPhysics 0.208 0.211 0.196 0.159 0.020 0.131 0.104 0.061
