#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w70.oracleGeneral.bin.zst_6928385,12000000000.0,0.2261,0.2075,0.2109,0.2076,0.2336,0.2077,0.2194,0.2059,0.2099,0.2052,0.2256,0.1987,0.2111,0.2187,0.2161,0.2075,0.2075,0.206,0.2112,0.22,0.2112,0.2081
w94.oracleGeneral.bin.zst_4118188,20000000000.0,0.242,0.1875,0.1817,0.1998,0.3285,0.2924,0.2183,0.1789,0.2086,0.1794,0.2037,0.1373,0.2003,0.1907,0.2348,0.1662,0.1836,0.2149,0.2278,0.2277,0.2128,0.1726
w105.oracleGeneral.bin.zst_3375344,6000000000.0,0.8075,0.7283,0.5416,0.7125,0.6639,0.6905,0.7669,0.5667,0.7746,0.7216,0.5001,0.4253,0.772,0.4883,0.6524,0.6146,0.6215,0.7951,0.6962,0.6287,0.6962,0.5473
w35.oracleGeneral.bin.zst_15415663,20000000000.0,0.2368,0.2188,0.2209,0.2199,0.2647,0.2301,0.2309,0.233,0.2272,0.2247,0.2393,0.1523,0.2221,0.2253,0.2367,0.2222,0.219,0.2249,0.2271,0.2397,0.2271,0.2248
w19.oracleGeneral.bin.zst_31116216,14000000000.0,0.0966,0.0832,0.0795,0.0823,0.1172,0.0858,0.0838,0.0804,0.0806,0.0818,0.0885,0.0429,0.0823,0.0815,0.0868,0.08,0.08,0.083,0.2495,0.0898,0.0856,0.0817
w75.oracleGeneral.bin.zst_6152624,7000000000.0,0.1337,0.1229,0.1276,0.1229,0.148,0.1227,0.1299,0.1258,0.1253,0.1216,0.1402,0.1145,0.1234,0.1345,0.1304,0.1217,0.1228,0.122,0.1231,0.1291,0.1231,0.1282
w50.oracleGeneral.bin.zst_13448032,18000000000.0,0.4271,0.4145,0.3,0.402,0.3354,0.3561,0.4265,0.3445,0.4267,0.4176,0.3499,0.2773,0.4248,0.3006,0.373,0.3975,0.3904,0.4269,0.3909,0.3602,0.3909,0.3399
w97.oracleGeneral.bin.zst_3768450,20000000000.0,0.7545,0.7118,0.7153,0.7118,0.7372,0.7275,0.7439,0.7247,0.7281,0.7205,0.7047,0.6527,0.7169,0.7048,0.7223,0.7305,0.7119,0.7212,0.712,0.7449,0.712,0.7124
w83.oracleGeneral.bin.zst_3880481,7000000000.0,0.6735,0.6392,0.6003,0.6392,0.6152,0.6481,0.6724,0.5646,0.6567,0.6713,0.5837,0.5228,0.6717,0.5404,0.6295,0.6612,0.6388,0.673,0.6395,0.6291,0.6395,0.5458
w81.oracleGeneral.bin.zst_5026619,7000000000.0,0.8924,0.8671,0.6298,0.8671,0.6631,0.8369,0.8913,0.6698,0.8872,0.8904,0.637,0.5845,0.891,0.5953,0.7781,0.8815,0.8666,0.8922,0.8676,0.6996,0.8676,0.6233
w63.oracleGeneral.bin.zst_9380316,23000000000.0,0.3755,0.3516,0.357,0.3516,0.3644,0.3544,0.3742,0.3432,0.3646,0.37,0.381,0.3317,0.3683,0.3535,0.3646,0.3571,0.3516,0.372,0.3518,0.3849,0.3518,0.3436
w86.oracleGeneral.bin.zst_4749563,32000000000.0,0.9258,0.9083,0.9112,0.9083,0.929,0.9122,0.9256,0.8977,0.9138,0.9251,0.8943,0.8911,0.9231,0.8942,0.9123,0.9141,0.9083,0.9251,0.9083,0.9173,0.9083,0.8944
